"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA S.A.",2022,"Marzo     ","LOS NEGROS II",2108948.912,1938727.403,592872.842,17647.337,15307.032,15525.852,15465.83,9928.23,9511.93,22-03-0202,"Apr  ",0.2240,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ","DANIEL GUTIÉRREZ",1664080.88,515008.835,508722.518,14010.76,12130.52,7306.88,11406.24,1164.48,4387.68,23-03-0202,"Apr 2",0.1795,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ","EL ENCANTO",337842.819,615074.378,662546.84,8309.41,8307.99,8311.22,1570.138,1573.973,1819.442,23-03-0202,"Apr 2",0.2390,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ",ELECTRIONA,421744.65,189381.063,106971.197,2849.1,2845.5,2826.75,2804.72,604.428,477.701,23-03-0202,"Apr 2",0.1657,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ","RÍO SEGUNDO",82366.46,47680.005,54467.241,969.46,966.62,957.32,969.459,938.16,389.819,23-03-0202,"Apr 2",0.1984,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ","P.E VALLE CENTRAL",644949.22,1081957.448,1598817.027,13553.48,14886.09,15106.63,0,178.99,1322.324,23-03-0202,"Apr 2",0.2922,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ",VENTANAS,107523.709,367591.508,70817.755,10244.27,10631.04,10459.19,0,0,0,23-03-0202,"Apr 2",0.0651,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ","BALSA INFERIOR",2160836.406,340271.593,103740.843,26527.3,24930.22,19829.27,19704.711,13276.402,1732.114,23-03-0202,"Apr 2",0.0934,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ",BELÉN,98216.473,175596.9,214329.419,1273,1276.11,1270.47,0,0,0,23-03-0202,"Apr 2",0.0625,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ",BRASIL,2736036.998,1074595.367,442170.071,22690.6,24105.37,22291.59,23320.59,22359.012,12765.693,23-03-0202,"Apr 2",0.2382,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Marzo     ",COTE,123190.75,156033.965,1546.611,6290.85,6290.79,3472.68,6274.869,6279.133,0,23-03-0202,"Apr 2",0.0556,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",SANDILLAL,4201838.662,7352938.075,7758492.851,30308,31112.693,30269.908,29910.365,29875.328,29857.674,15-03-0202,"Apr 1",0.8380,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",TEJONA,1375861.084,2430934.241,2879035.279,12190.994,12177.085,12138.209,5454.492,3612.672,6688.969,21-03-0202,"Apr 1",0.6808,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","TORO I",897812.956,1570007.716,1713945.374,25547.982,12957.547,25583.373,6763.968,6770.632,6817.275,12-03-0202,"Apr 1",0.2213,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","TORO II",3201737.26,5370996.081,3655588.886,46274.676,32971.577,64953.057,28676.228,29897.894,24077.679,12-03-0202,"Apr 1",0.2490,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","TORO III",2368388.838,3959090.504,2717113.356,35867.617,24868.186,45090.801,20948.58,22042.11,17862.838,03-03-0202,"Apr 1",0.2558,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","VENTANAS GARITA",5442367.786,7136633.002,6065986.376,50312.777,50974.004,50412.441,49307.926,48845.289,34930.445,30-03-0202,"Apr 1",0.2506,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","LAS PAILAS",4868804.001,8768044.013,9746680.967,31877.498,31962.875,31940.68,31725.26,31423.906,31703.871,10-03-0202,"Apr 1",0.8980,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","PAILAS II",7774565.488,14005620.629,15613606.098,51547.707,52128.816,52045.836,49680.555,49526.52,51471.75,10-03-0202,"Apr 1",0.9669,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","PEÑAS BLANCAS",1692386.011,3246821.878,1342076.302,35641.402,36006.523,35949.09,14818.666,14813.155,12764.863,04-03-0202,"Apr 1",0.2332,,,,,,,,,,
